Alpha_Params,Beta_Espectro,Tiempo_Minutos,MAE,MSE,RMSE,R2,Coseno_Medio,Integral_Error_Media
1.0,0.0,4.86,62.72959899902344,11104.0,105.37551897855593,0.5805835723876953,0.7880695,28499.92
0.9,0.1,4.82,60.940128326416016,10291.6298828125,101.44767066232966,0.6112680435180664,0.80168086,27686.785
0.8,0.2,3.69,60.918785095214844,10268.982421875,101.3359877924669,0.6121234893798828,0.80261225,27677.783
0.7,0.3,2.91,60.86330032348633,10278.0107421875,101.3805244718506,0.6117825508117676,0.8017082,27654.598
0.6,0.4,1.93,60.871707916259766,10313.31640625,101.55449968489826,0.6104490160942078,0.8008659,27654.291
0.5,0.5,3.5,60.866512298583984,10274.2626953125,101.3620377425025,0.6119240522384644,0.8021611,27649.72
0.4,0.6,2.7,60.528324127197266,10210.9501953125,101.04924638666287,0.6143155097961426,0.80324125,27499.434
0.3,0.7,4.13,60.62562561035156,10224.8427734375,101.11796464247834,0.6137908101081848,0.8033597,27543.875
0.2,0.8,4.92,60.618263244628906,10226.833984375,101.1278101432786,0.6137155294418335,0.80280596,27544.936
0.1,0.9,4.9,60.37760925292969,10182.7119140625,100.90942430745753,0.615382194519043,0.80441976,27433.725
0.0,1.0,1.82,96.38270568847656,26751.689453125,163.5594370653219,-0.01045536994934082,,43809.113
